"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
9.07768954937263e-08,0.331325745104015,0.931,0.855,0.00117229282840598,"Th0","JAK1"
9.52213458727523e-08,0.219680171742648,0.153,0.04,0.00122968846060072,"Th0","EGFL6"
9.86317176345777e-08,0.335689398954678,0.595,0.352,0.00127373000153294,"Th0","RARRES3"
1.00589184420719e-07,0.214118161556673,0.298,0.125,0.00129900872760916,"Th0","CASP1"
1.02100473599961e-07,-0.358956901063594,0.901,0.957,0.0013185255160699,"Th0","TRMT112"
1.05317785582265e-07,-0.535959723358251,0.786,0.853,0.00136007388300937,"Th0","CFLAR"
1.08494379580525e-07,0.334711591828331,0.916,0.847,0.00140109641790291,"Th0","SEPT6"
1.09096333375885e-07,0.421700381410867,0.969,0.951,0.00140887004921618,"Th0","LY6E"
1.1815986306687e-07,0.261257014465078,0.519,0.3,0.00152591647164556,"Th0","OXR1"
1.20708901845862e-07,-0.472460282565487,0.618,0.758,0.00155883475843746,"Th0","BATF"
1.24213946475082e-07,-0.877639682682343,0.779,0.883,0.00160409890477921,"Th0","NFKBIA"
1.25338699303137e-07,0.202553488484512,0.29,0.116,0.00161862396280071,"Th0","HIC1"
1.33321761644752e-07,0.156634901079618,0.328,0.143,0.00172171722988032,"Th0","SRBD1"
1.36947967135811e-07,0.189304539345337,0.336,0.148,0.00176854604759187,"Th0","SNRK"
1.5255251672207e-07,0.318970500704039,0.55,0.348,0.00197006320094881,"Th0","RPA1"
1.62725950997421e-07,0.15911876622822,0.405,0.196,0.00210144293118069,"Th0","DGKH"
1.63965804358564e-07,0.176258800175581,0.237,0.085,0.0021174543974865,"Th0","RP11-382A20.3"
1.71821411238277e-07,0.38973091262352,0.954,0.853,0.00221890170473111,"Th0","KIF2A"
1.87699837697855e-07,0.301983025719924,0.992,0.957,0.0024239557040301,"Th0","TPM3"
2.04521596574072e-07,-0.605430068207443,0.847,0.9,0.00264119189815756,"Th0","JUNB"
