"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
6.37696177766862e-10,-0.431486518643216,0.349,0.58,8.32193511985755e-06,"Th17","CST7"
7.9295340907966e-10,-0.293406914310297,1,1,1.03480419884896e-05,"Th17","RPS3A"
1.08697255337061e-09,-0.221225027584905,1,1,1.41849918214865e-05,"Th17","RPL10A"
1.19686150509948e-09,0.33714534733568,0.9,0.844,1.56190426415482e-05,"Th17","RABAC1"
1.43377031563379e-09,-0.207165303236667,1,1,1.8710702619021e-05,"Th17","RPL27A"
1.502100999e-09,0.334757095881391,0.944,0.882,1.960241803695e-05,"Th17","ETHE1"
1.68971388729092e-09,0.331204120791639,0.963,0.885,2.20507662291466e-05,"Th17","CFLAR"
1.74243957547433e-09,-0.23522472788471,1,1,2.27388364599399e-05,"Th17","RPS4X"
1.78139870378618e-09,-0.283185559413713,0.996,0.999,2.32472530844097e-05,"Th17","RPL23"
1.84073334315237e-09,-0.286190770899531,1,1,2.40215701281384e-05,"Th17","RPSA"
1.93650514835437e-09,0.350658723024235,0.911,0.804,2.52713921860245e-05,"Th17","APOBEC3G"
2.79873501138682e-09,0.250850481537855,0.558,0.342,3.6523491898598e-05,"Th17","EBI3"
3.07562203632138e-09,0.382410718056512,0.665,0.495,4.01368675739941e-05,"Th17","IKZF3"
3.27224295401685e-09,-0.269897078956359,1,1,4.27027705499199e-05,"Th17","RPL6"
3.75574264853918e-09,-0.2450214930732,1,1,4.90124415634363e-05,"Th17","RPL13A"
3.82571995580149e-09,-1.01386705594123,0.833,0.904,4.99256454232095e-05,"Th17","HIST1H4C"
4.35285916271607e-09,0.268987563036804,0.48,0.272,5.68048120734448e-05,"Th17","FUT7"
4.58298562232217e-09,0.28739744225797,0.959,0.852,5.98079623713043e-05,"Th17","IRF7"
4.97419615804428e-09,-0.146523530486037,0.011,0.138,6.49132598624778e-05,"Th17","RP11-305L7.1"
5.12008788956589e-09,0.658372272229755,0.784,0.674,6.68171469588348e-05,"Th17","BATF3"
6.25500132530753e-09,0.31126707607639,1,1,8.16277672952633e-05,"Th17","TMSB4X"
6.55224359061306e-09,-0.277131336432912,1,1,8.55067788575005e-05,"Th17","RPLP0"
6.56190003610315e-09,0.257790826230424,1,0.997,8.56327954711461e-05,"Th17","MYL12B"
6.88342674428767e-09,-0.214785880297205,1,1,8.98287190129541e-05,"Th17","RPL37A"
7.44053466982125e-09,0.251942541167743,0.628,0.439,9.70989774411673e-05,"Th17","STRIP2"
8.58826977567264e-09,0.254459083155243,0.494,0.295,0.000112076920572528,"Th17","IL1R2"
8.6343759597688e-09,-0.372740059207823,0.078,0.238,0.000112678606274983,"Th17","PLAC8"
9.52042133223927e-09,0.30971267306425,0.955,0.917,0.000124241498385722,"Th17","ARID5A"
1.04369347681369e-08,0.280140339934408,0.156,0.048,0.000136201998724187,"Th17","CLIC3"
1.15935794300002e-08,-0.24633639495685,1,1,0.000151296211561502,"Th17","RPS3"
1.27791522348297e-08,0.420253150615264,0.978,0.929,0.000166767936664528,"Th17","IFI6"
1.41023823169732e-08,-0.205575194529212,0.996,0.999,0.0001840360892365,"Th17","RPL22"
1.59947968431792e-08,0.239590497441975,1,1,0.000208732098803489,"Th17","H3F3B"
1.62433300548622e-08,-0.131157346150112,0.033,0.171,0.000211975457215951,"Th17","SLC35F3"
1.63662795320455e-08,-0.256465534564281,0.989,0.99,0.000213579947893194,"Th17","NAP1L1"
1.64678163603848e-08,0.399626472026689,0.751,0.602,0.000214905003503021,"Th17","TSHZ2"
1.85620304709752e-08,0.173474543955786,0.364,0.198,0.000242234497646227,"Th17","PITPNC1"
1.93242862198667e-08,-0.173923582558615,1,1,0.00025218193516926,"Th17","RPL36"
2.0256501540535e-08,0.279272994143825,1,0.999,0.000264347345103981,"Th17","MYL12A"
2.052333476638e-08,-0.303757712790769,0.825,0.889,0.000267829518701259,"Th17","EIF3L"
2.34454260508035e-08,0.225230974875938,0.532,0.358,0.000305962809962986,"Th17","AHCYL2"
2.65398880268948e-08,0.287350198729457,0.19,0.07,0.000346345538750977,"Th17","RCAN2"
2.93464900098671e-08,0.324658227070068,0.632,0.443,0.000382971694628766,"Th17","MIAT"
